property_id,price,sqft,bedrooms,bathrooms,year_built,lot_size,neighborhood,latitude,longitude,crime_rate,school_rating
PROP_000000,252352.42581640388,1110.4959055624636,3,1,1973,1000.0,Historic,40.950714306409914,-73.26800605818859,6.9,1.5
PROP_000001,632394.5639268646,2094.3956898748,4,2,1998,1000.0,Suburbs,40.1818249672071,-73.81659549014657,1.4,9.8
PROP_000002,1541016.8272762445,2907.4714124020347,5,2,2009,1000.0,Waterfront,40.382461991267164,-73.01676911419321,6.1,4.5
PROP_000003,152014.4130572477,1119.1217949201332,1,3,1955,1000.0,Historic,40.49517691011127,-73.96561147888478,1.3,8.6
PROP_000004,724382.21866555,2590.7732639963283,4,1,1989,1000.0,Historic,40.93949894156419,-73.10517264957235,8.6,7.7
PROP_000005,920867.5680998978,2856.7881496138953,1,2,2020,1000.0,Downtown,40.280934509687384,-73.45730391684175,3.6,1.1
PROP_000006,390820.13826006337,1328.6259814218893,1,3,1972,1000.0,Waterfront,40.70685734384762,-73.270992831959,7.0,7.0
PROP_000007,632603.769884473,2510.362354579912,3,5,1964,1000.0,Waterfront,40.47221492516195,-73.8804057540617,2.8,9.1
PROP_000008,465932.6745755285,1824.2624897299904,5,2,1962,1000.0,Downtown,40.314355981076325,-73.4914293088353,1.7,3.6
PROP_000009,829212.7434918024,2926.5493223456224,3,2,2011,1000.0,Historic,40.80367207689911,-73.81342994111397,4.8,8.4
PROP_000010,411033.58953438513,952.0394502300205,1,1,1993,4516.51123766228,Downtown,40.30478125815803,-73.83534414685705,3.2,2.5
PROP_000011,444402.5923652895,833.186463210594,4,3,2005,1000.0,Historic,40.36362960237929,-73.02821791727904,5.5,1.5
PROP_000012,605655.1367059532,2270.418127100113,2,4,1966,1055.5917566417863,Tech Hub,40.345071248026684,-73.36564865529864,7.6,4.3
PROP_000013,455901.8144485394,3113.860602793522,1,2,1952,1000.0,Waterfront,40.816431873219386,-73.20165487501545,1.1,5.6
PROP_000014,743998.6516917057,1885.2302162954486,2,4,1980,1000.0,Waterfront,40.34866598729173,-73.90382344890858,8.9,3.3
PROP_000015,373384.75268357527,2421.1585290677567,1,1,1961,1000.0,Downtown,40.516635891271015,-73.7391708251696,2.7,3.5
PROP_000016,1077287.7430479573,2200.3942802767015,4,1,2021,1000.0,Waterfront,40.72595567887024,-73.10288974004742,8.1,7.0
PROP_000017,1168580.804041207,2934.904994760427,2,4,2017,1000.0,Downtown,40.66350176910806,-73.99493841615379,7.7,6.8
PROP_000018,829892.6472671612,1803.6895071977035,5,4,1977,1000.0,Waterfront,40.65761289230034,-73.43169139666453,7.0,8.8
PROP_000019,163334.28246583766,800.0,1,3,1955,1000.0,Historic,40.02431596643145,-73.35452770409283,9.7,9.7
